Attendance Date,Employee Code,Department,Begin Time,End Time,In Time,Out Time,Duration,LateBy,EarlyBy,LeaveType,Leave Status,Punch Records,Over Time,Att Status,Status Code,Employee Device Code
17-May-2018,63,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,63
16-May-2018,64,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,64
17-May-2018,64,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,64
16-May-2018,65,Default,09:30,18:30,09:28:00,18:29:53,09:00,00:00,00:00,,0,09:28:00(in);18:29:53(in);,0,Present,P,65
17-May-2018,65,Default,09:30,18:30,09:27:27,,00:00,00:00,00:00,,0,09:27:27(in);,0,Present,P,65
16-May-2018,66,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,66
17-May-2018,66,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,66
16-May-2018,67,Default,09:30,18:30,09:24:18,19:16:19,09:00,00:00,00:00,,0,09:24:18(in);19:16:19(in);,52,Present,P,67
17-May-2018,67,Default,09:30,18:30,09:24:03,,00:00,00:00,00:00,,0,09:24:03(in);,0,Present,P,67
16-May-2018,68,Default,09:30,18:30,09:27:55,18:29:49,09:00,00:00,00:00,,0,09:27:55(in);18:29:49(in);,0,Present,P,68
17-May-2018,68,Default,09:30,18:30,09:27:30,,00:00,00:00,00:00,,0,09:27:30(in);,0,Present,P,68
16-May-2018,69,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,69
17-May-2018,69,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,69
16-May-2018,70,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,70
17-May-2018,70,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,70
16-May-2018,71,Default,09:30,18:30,11:33:47,19:35:24,08:02,02:04,00:00,,0,11:33:47(in);19:35:24(in);,0,1/2Present,1/2P,71
17-May-2018,71,Default,09:30,18:30,14:10:25,,00:00,04:40,00:00,,0,14:10:25(in);,0,Present,P,71
16-May-2018,72,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,72
17-May-2018,72,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,72
16-May-2018,73,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,73
17-May-2018,73,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,73
16-May-2018,74,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,74
17-May-2018,74,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,74
16-May-2018,75,Default,09:30,18:30,09:18:16,18:33:37,09:00,00:00,00:00,,0,09:18:16(in);18:33:37(in);,15,Present,P,75
17-May-2018,75,Default,09:30,18:30,09:25:50,,00:00,00:00,00:00,,0,09:25:50(in);,0,Present,P,75
16-May-2018,76,Default,09:30,18:30,09:37:32,17:30:14,07:53,00:00,01:00,,0,09:37:32(in);17:30:14(in);,0,1/2Present,1/2P,76
17-May-2018,76,Default,09:30,18:30,09:24:11,,00:00,00:00,00:00,,0,09:24:11(in);,0,Present,P,76
16-May-2018,77,Default,09:30,18:30,09:12:28,17:55:57,08:43,00:00,00:34,,0,09:12:28(in);17:55:57(in);,0,Present,P,77
17-May-2018,77,Default,09:30,18:30,09:13:15,,00:00,00:00,00:00,,0,09:13:15(in);,0,Present,P,77
16-May-2018,78,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,78
17-May-2018,78,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,78
16-May-2018,79,Default,09:30,18:30,08:48:37,18:18:15,09:00,00:00,00:00,,0,08:48:37(in);18:18:15(in);,30,Present,P,79
17-May-2018,79,Default,09:30,18:30,09:01:34,,00:00,00:00,00:00,,0,09:01:34(in);,0,Present,P,79
16-May-2018,80,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,80
17-May-2018,80,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,80
16-May-2018,81,Default,09:30,18:30,09:57:48,19:02:19,09:00,00:28,00:00,,0,09:57:48(in);19:02:19(in);,0,Present,P,81
17-May-2018,81,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,81
16-May-2018,82,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,82
17-May-2018,82,Default,09:30,18:30,11:10:26,,00:00,01:40,00:00,,0,11:10:26(in);,0,Present,P,82
16-May-2018,83,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,83
17-May-2018,83,Default,09:30,18:30,09:42:51,,00:00,00:00,00:00,,0,09:42:51(in);,0,Present,P,83
16-May-2018,84,Default,09:30,18:30,09:32:26,18:33:40,09:00,00:00,00:00,,0,09:32:26(in);18:33:40(in);,0,Present,P,84
17-May-2018,84,Default,09:30,18:30,09:13:09,,00:00,00:00,00:00,,0,09:13:09(in);,0,Present,P,84
16-May-2018,85,Default,09:30,18:30,09:43:00,13:59:26,04:16,00:00,04:31,,0,09:43:00(in);13:59:26(in);,0,1/2Present,1/2P,85
